english,cuyonon
Do you know where this is,"Agbalo nanaman mo kung hain ini

Alaman mo kong aden tegen dya"
Do you know how to get here,"Agam mo bay kon pauno makaabot digi

Alaman mo pasamuro kapakon dege"
is this,ini
how much,Tag pira
What is this place,banwa dya
good morning,mayad nga aga
good evening,mayad nga gabii
good afternoon,mayad nga ugto
I am from,Ako gali taga
Where are you from,Taga den kaw
how are you,kumusta kaw
how,parasaeno
Thank you,salamat gid
Thank you very much,Matamang salamat
You’re welcome,Walay problema
Sorry,Pasensya nged
I don’t know cuyonon,Indi ako kaelam ag cuyonon
Is it far,Maraye kab pa kabay dya
Is this the right way,Tama kabay ang dalan ngaa dya
Road,kalsada
Is it close,Marapit lang kabay
Do you have a vacant room,May bakante pa kam na kwarto
How much is the room per night,Tag pira ra ang kwarto kada gabii
Can I check in now,Pwede man gid makapag-check in dade
Can I check out early,Pwede man dayà mag-check out maga
How much is the fare,Tag pira ang pliti
Can I see the menu,paseleng ang menu
What's delicious here,Ano kabay masabor dege
I am lost,Nadudura ako
Can you help me,Pwede nindo ba akong tabedan
fee,bayad
Like,Alyagan
wise,Kaelam
go,pakon
speak,Mag lemieg
What,ano
morning,timprano
noon,ogto
afternoon,apon
night,gabi
fare,plinti
rent,plinti
Better,matinlo
This,dade
that,iyon
I,ako
Lost,nadora
yours,kanimo
Help,tabang
handsome,goapo
okay,pwede
"Yes, please",Pwede man
because,tenged
Welcome,Malipayeng pagabot
You,kaw / mo / kamo
age,idad
Beautiful,mapostura
Good,Mayad
Where did you buy that,Sadin akabakal idan
Buy,bakal
buying,agapamakal
Bought,akabakal
Purchased,akabakal
Where,Sadin
Unknown,Indi kaelam
No,Indi
eat,Kaen
Eaten,akakaenden
going,agapakaron
take,bel
Visit,Pakon
Get it,Bel
Get,agabel
Taking,agabelden
Boat,baroto
man,lalaki
woman,babae
car,kotsi
cheap,barato
far,raye
money,koarta
house,balay
hunger,getem
sales,agpabakal
give,abi
yesterday,kagapon
picture,ritrato
please,Kong manga sarang
jeep,dyip
your,imong
to you,imo
raw,ilaw
station,istasion
wifi,wifi
spicy,maarat
food,pagkaen
delicious,sabor / masabor / masasabor
tourist,torista
apology,tawad
ah,abaw
appetite,gana
all,tanan
again,doman
almost,kamaite
truck,trak
arrive,magabot
long,maboay / malabeg
For a long time,Maboay boay
Agree,paigo/tama
pocket,bolsa
garage,garahi
language,bisara
name,aran
call,tawag
lechon,litson
room,koarto
obvious,halata
today,dadi
fear,iadlekan / adlek
one,Isara
two,Darwa
three,Tatlo
four,Apat
Five,Lima
six,Anem
seven,Pito
eight,Walo
nine,Siam
Ten,Sampolo
I am,Ako si
me,ako
do you have,May ara / mayad pa
do you know,Alaman mo
twenty,dose
thirty,trese
forty,katorse
fifty,kinse
sixty,disi sais
seventy,disi sieti
eighty,disi otso
ninety,disi nuebe
hundred,sieto/gatos
thousand,mil/ribo
million,milyon
already,ren/den
will go,mapakon
yes,een
really,matod
disgusting,kadasmak
disgusted,nadadasmakan
annoyed,kaerep
annoying,Ing eerepan
here,digi
us,kita
they,sanda
leave,alen
leaving,magalen / kakalen
departure,paaalen
remove,belen/alinen
will ride,masakay
vehicle,sarakayan
or,o
and,pati
is,ay
are,ay
bus,bus
airplane,eroplano
tricycle,traysikel
motorcycle,motorsiklo
arrived,agabot
a lot,marake
many,marake
there,duto / dyan
cold,maramig
hot,mayet
he/she,kanana
too,den / masyado ngeg
share,tienga
for,para
just,na lang / lang
restaurant,restawran
dish,sera
serve,handa
in,nasa/asa
refuse,ayaw
don’t want,ayaw
waiter,weyte/surugon
taste,samet / sametan / sasametan / lasa
wait,elat / arawaey
waiting,agaelat
for a while,arawaey
duration,bwaey
A long time,ang bwaey
fast,daseg
faster,dasegan
just because,basta
have,may
anywhere,maske aden
anytime,maske inuro
anyone,maske sino
anything,maske ano
know,alaman
come on,tara
swim,langoy
bath,paregos
drown,limis
fish,isda
mad,buang buang
angry,silag
sad,pungawan/beken maabeng / beken maambeng / pupungawan / ara lelepayan
pork,baboy
chicken,manok
beef,baka
duck,bibe
dog,cho
cat,kuti
bat,paniki / kulalaenet
bird,ibon / langgam
butterfly,paru-paro
cockroach,ipis/dalomaseg
ant,langgam/aripotos
mouse,daga/ambie
monkey,unggoy
frog,palaka/pangka
cow,baka
carabao,kalabaw/karabao
horse,kabayo
smelly,maburo
ugly,marimo
dirty,maboring
messy,marikot
tomorrow,aruman
hard,matigas
time,oras
open,abreayan
heavy,mabiegat
light,ilaw / light / solo
the,ang
water,tubig
borrow,belis
tired,pilay
awake,puyat
stop,tadeing
drink,inomen
nothing,ara
Sir,Ser
Ma’am,Mam
sister,ate
brother,kuya
mother,nanay
father,tatay
Who,Sino
When,Inuro
Why,Ayamo
sure,sigurado
our,aten
ours,kanaten
discount,tawad
sweet,matamis
salty,masin
bitter,mapaet
bland,malasay
sour,maslim
mine,kanakan
goodbye,paelam
their,kananda
theirs,kananda
his,kanana
her,kanana
him,tana
she,tana
he,tana
hers,kanana
was,ay
has,may
We,kita
It,dya
scared,nadlek
scary,ing aadlekan
crying,agatangis
cried,agtangis
Monday,Lunes
Tuesday,Martes
Wednesday,Miyerkules
Thursday,Huwebes
Friday,Biyernes
Saturday,Sabado
Sunday,Domingo
January,Enero
February,Pebrero
March,Marso
April,Abril
May,Mayo
June,Hunyo
July,Hulyo
August,Agosto
September,Septiyembre
October,Oktubre
November,Novembre
December,Disyembre
given,Ingtaw
gave,Ingtaw/ing abot
giving,Pag pamanaw/ ingtataw
chance,timpo
work,trabaho
vacation,bakasyon
extend,palabegen
near,marapit
joy,kadlaw
smile,ngirit
happy,maambeng
insect,insekto
visitor,bisita
alone,mag isara lamang
lonely,isara lamang
take care,ingat
be careful,mag ingat
thrill,kilig
thrilled,ingkikilig
love,mahal / mal / guegma
hope,pag asa
wish,basipa
expected,ing aasahan
breakfast,omagahan
lunch,igma
snack,meryenda
dinner,yapon
day,adlaw
sunny,mainit
windy,magin
rainy,mauran
light rain,tariti
cloudy,maulap
typhoon,bagyo
earthquake,lindol
season,panahon
island,isla
plant,halaman
tree,puno
mountain,bundok / bulod
hill,burol / bulod
plain,patag
cave,kuweba
volcano,bulkan
towel,tiwalya
hat,sumbrero / todong
sunglasses,salamin sa adlaw
eyeglasses,salamin sa mata
mirror,salamin
handkerchief,panyo
tissue,tisyu
lotion,losyon
shampoo,siyampo
soap,sabon
clothes,damit / lambong
slippers,tsinelas
shoes,sapatos
socks,medyas
sea,dagat
ocean,karagatan
river,ilog / bangalog
stream,sapa
port,daungan / pantalan
bay,baybayin
hotel,hotel
shop,tindahan / tindan
store,tindahan / tindan
market,palengke
hospital,ospital
sand,buhangin
souvenir,pasalubong
seafood,pagkaing dagat
animal,hayop
restroom,banyo
bathroom,paliguan / pararegusan
swimming pool,lalangoyan
plate,plato
spoon,kutsara
fork,tinidor
cup,baso
knife,kutsilyo
take out,ipabalot
dine in,kakaen
kindly,pasuyo / patigayon
favor,pabor
favorite,paborito
minute,minuto
second,segundo
hour,oras
kilo,kilo
