tagalog,cuyonon
Alam mo ba kung saan ito,"Agbalo nanaman mo kung hain ini

Alaman mo kong aden tegen dya"
Alam mo ba kung paano pumunta dito,"Agam mo bay kon pauno makaabot digi

Alaman mo pasamuro kapakon dege"
ito,ini
magkano,Tag pira
Anong lugar to,banwa dya
Magandang umaga,mayad nga aga
Magandang gabi,mayad nga gabii
Magandang tanghali,mayad nga ugto
Ako ay tiga,Ako gali taga
Tiga saan ka,Taga den kaw
Kamusta ka,kumusta kaw
paano,parasaeno
Salamat,salamat gid
Maraming Salamat,Matamang salamat
Walang anuman,Walay problema
pasensya,Pasensya nged
Hindi ko alam cuyonon,Indi ako kaelam ag cuyonon
Malayo po ba ito,Maraye kab pa kabay dya
Tama po ba ang daan na ito,Tama kabay ang dalan ngaa dya
kalsada,kalsada
Malapit lang po ba,Marapit lang kabay
May bakante po ba kayong kuwarto,May bakante pa kam na kwarto
Magkano po ang kuwarto kada gabi,Tag pira ra ang kwarto kada gabii
Pwede po bang mag-check in ngayon,Pwede man gid makapag-check in dade
Pwede po bang mag-check out nang maaga,Pwede man dayà mag-check out maga
Magkano po ang pamasahe,Tag pira ang pliti
Pwede po bang makita ang menu,paseleng ang menu
Ano po ang masarap dito,Ano kabay masabor dege
Nawawala po ako,Nadudura ako
Pwede po ba ninyo akong tulungan,Pwede nindo ba akong tabedan
bayad,bayad
Gusto,Alyagan
marunong,Kaelam
pumunta,pakon
magsalita,Mag lemieg
Ano,ano
umaga,timprano
tanghali,ogto
hapon,apon
gabi,gabi
pamasahe,pliti
renta,pliti
mabuti,matinlo
Ito,dade
iyon,iyon
ako,ako
Nawala,nadora
niyo,kanimo
Tulong,tabang
gwapo,goapo
pwede,pwede
Pwede po,Pwede man
dahil,tenged
Maligayang pagdating,Malipayeng pagabot
ikaw / mo / kayo,kaw / mo / kamo
edad,idad
maganda,mapostura
Mabuti,Mayad
Saan mo nabili yan,Sadin akabakal idan
bili,bakal
Bumibili,agapamakal
Binili,akabakal
Nakabili,akabakal
Saan,Sadin
Hindi Alam,Indi kaelam
Hindi,Indi
